,Reviewer Name,Review Rate,Review Time,Review Comment
0,HuongCam Trinh,5 sao,một tháng trước,"Quán này mình thấy ưng nhất trong chuỗi HL từ nhân viên thu ngân, pha chế phục vụ đều nhiệt tình vui vẻ, các mã ưu đãi giảm giá các bạn đều hdan tư vấn rõ ràng k như các chi nhánh khác …"
1,Chin Chin,5 sao,4 tháng trước,"Không gian thoáng mát nhiều chỗ ngồi. Mình ngồi bên ngoài hơi bị muỗi chích ấy. Đi ngày thường vào tối thì đông nên cũng hơi ồn xíu. Không gian có đèn vàng thích hợp để tám chuyện công việc, cuộc sống,…Nhân viên dọn dẹp cảm giác ko được thân thiện cho lắm. Gửi xe hôm đó mình đi thì hết chỗ nên phải vào trong gửi chi phí là 5k"
2,Tchou Dung,5 sao,6 tháng trước,"Không gian rất thoáng nên không bị quá ồn ào, vẫn làm việc nói chuyện bình thường, nước thì khỏi chê rồi. Đang có chương trình mua 3 ly giảm bánh nên quất cái bánh matcha khá ổn."
3,nguyen trinh,4 sao,2 tháng trước,"Quán gần nhà, không gian thoáng view nhìn ra đường 3/2 rất thoải mái"
4,Anh Nguyễn Hoàng,5 sao,2 tháng trước,"Ở trong khu satra, có bãi xe, ké bóng cây lớn mát mẻ, có phòng điều hòa"
5,Đoàn Phạm Hoàng Trung,1 sao,6 tháng trước,"Trải nghiệm tệ hại chưa từng có. Tôi vào order nước. Mua 1 ly cafe đen cho mình và 1 ly freeze trà xanh cho vợ. Tôi nói ngay khi trả tiền là tôi sẽ uống ly cafe đen còn ly freeze thì để đó một chút nữa tôi lấy. Khoan làm. Bất ngờ, nhân viên …"
6,Hi Hi,5 sao,một tháng trước,"🥰Về không gian quán

Đến Highlands review thực tế, bạn mới biết mỗi cơ sở lại có một cách bài trí …"
7,Luân Nguyễn,1 sao,một tháng trước,"Lề mề không lo làm món, toàn đứng chơi nạnh nhau."
8,Lee Min Hae,1 sao,4 tháng trước,Bảo vệ ca chiều tối bãi gửi xe kém. Bắt khách gửi xe thêm là sao
9,châu hải,5 sao,một năm trước,"Quán nằm gần siêu thị Satramart.
Mỗi lần đi sthi có thể tạt vào đây ngồi mát.
Trước chưa có vhm thì mình hay ra đây ngồi. …"
10,Abc Xyz,1 sao,một tháng trước,"Quán vắng mà tận 4 nhân viên làm cái đơn có 2ly nước 2 bánh mì mà hơn 15p chưa có :))) chi nhánh này quá tệ so với các chi nhánh khác, mong ban quản lý xem lại giup mình"
11,Hector Trân Trân,5 sao,8 tháng trước,"Quán ngay chân cầu 3/2, dễ tìm.

Các anh giữ xe dễ thương, phục vụ tận tình. …"
12,Tong Vo Vlog,5 sao,3 năm trước,"Quán cà phê Highlands coffee là 1 trong những địa điểm được khách hàng ưa chuộn, bởi món ăn và thức uống đã làm nên thương hiệu. Nơi mà các cuộc gặp gỡ giữa các nhóm, đối tác, bạn bè và người thân mỗi lần đến các trung tâm thương mại. …"
13,Trung Doan,2 sao,4 tháng trước,Khách ngồi lâu quá nhân viên higlands mang vòi nước za xịt . Vãi cả nhân viên
14,Hằng Vũ,5 sao,5 năm trước,"_Vị trí: ngay góc siêu thị Satra mart, thuận tiện đi lại, dễ tìm thấy. Do ở trong cùng khuôn viên với siêu thị nên cần gì có thể chạy vào mua, hoặc đi siêu thị mệt mỏi có thể vào quán nghỉ ngơi, rất tiện hiii …"
15,Bands Alake,4 sao,một năm trước,Quán HL này khá là rộng và có cả khoảng không ngoài trời thoải mái. Để xe cũng rộng rãi luôn. Decor hơi lộn xộn nhưng nhìn chung ok. Giá cả thì như những highlands khác tầm 50k đến 100k. Có bán đồ ăn nhẹ …
16,Xuan Nguyen,2 sao,5 tháng trước,"Lúc mình đến là 6h56 sáng bạn nhân viên cửa hàng nói 7h hay 7h hơn bên em mới mở cửa. Mình đi ra ngoài bị thêm bác bảo vệ lại trách cứ ""cửa hàng chưa mở cửa con vô sớm làm chú bị la"". Mình chẳng hiểu kiểu gì, ủa thì khách vô sớm kêu khách …"
17,Nguyễn Ren,5 sao,một năm trước,"Đồ uống khá ngon và vừa vị, quán tuy đông nhưng mọi thứ đều trật tự. Cũng vì quán hơi đông nên đồ uống khá lâu mới có nhưng cũng không phải là vấn đề!"
18,Minh Vương,4 sao,3 năm trước,"Tối ở nhà khá nóng, với lại lâu rồi k đi coffee shop nên ghé quán một mình.. . Quán kế bên siêu thị, từ ngoài nhìn vào k bắt mắt lắm, nếu k thuộc địa chỉ sẽ khá khó tìm. Quán có chỗ để xe rộng, có trệt và lửng, muốn lên lửng phải đi cầu …"
19,Tuan Bui,4 sao,5 năm trước,"Vị trí đẹp, bất tiện khi ngồi làm việc vì ít ổ cắm điện"
20,Hannah Thanh Truc,5 sao,5 năm trước,"View đẹp, phục vụ tận tình. Mình và bạn bè hay hẹn gặp nhau ở đây. Highland có các món bánh ngọt khá ngon và nhìn dễ thương,  sẵn sàng làm bạn phá bỏ hoặc lùi lại kế hoạch giảm cân của mình. Quán có khu vực ngoài trời khá thoáng và đẹp, nơi thích hợp cho các bạn thik chụp hình sống ảo"
21,Song Ánh Trần,1 sao,một năm trước,"Cơ sở vật chất xuống cấp, máy lạnh nóng như cái lò, phích cắm điện hư, bàn ghế cũ và nhân viên thì không quan tâm đến tình hình quán.
Đây là cái HL tệ nhất trong nhiều HL mình đã ngồi."
22,Huy Pham,4 sao,8 tháng trước,"Nước và không gian ở Highland vẫn là 8/10

Một điểm trừ vì quán đông đứng chờ mãi
Và một điểm trừ vì hôm nay nhà về sinh không sạch."
23,Hữu Quách,4 sao,5 năm trước,"Không gian khá đẹp, tuy nhiên quán khá đông nên hơi ồn. Wifi hơi k ổn định lắm, hệ thống loa hát nhạc khá hạn chế"
24,Linh Nguyen,1 sao,5 tháng trước,"Trưa nay tầm 11h30 mình chạy xe từ 3 tháng 2 vào highlands và lối xe vào là của siêu thị nên mình không biết để ở xe ở đâu, không có bảo vệ để giúp đỡ, một lúc sau chú bảo vệ đứng phía bên ngược lại (chỗ paparoti với bãi xe hơi của siêu thị …"
25,Tu Anh Vu,5 sao,5 tháng trước,"Hơi ít món uống nhưng thức uống nào cũng ngon, không gian sạch sẽ, đơn giản, hiện đại, order khá nhanh ko phải chờ lâu, đặc biệt mạng lưới rất nhiều cửa hàng nên tiện để mua"
26,Triệu Nguyễn,1 sao,5 tháng trước,Bảo vệ giữ xe lúc 3h trưa ngày 15/3 rất là bố đời. K chỉ khách để xe rồi còn cọc nạt nộ khách hàng
27,Phung Phan,4 sao,5 năm trước,"Rộng đấy nhưng đông quá thành ra chật, bãi xe không đáp ứng được lượng xe của khách, phải gửi ở siêu thị Satra kế bên 3k do khách tự trả."
28,WeirdNightOwl,5 sao,một năm trước,"Không có gì để nói nhiều, cũng vẫn như nhiều chi nhánh khác của Highlands, rất hài lòng, có điều nhiều lúc sẽ rất đông, việc gửi xe khá phức tạp."
29,Tùng Trần Thanh,5 sao,4 năm trước,"Bắt đầu từ 2 cửa hàng năm 2002, hiện nay Highlands Coffee đã có tổng cộng trên dưới 200 chuỗi cửa hàng tại Việt Nam. Thương hiệu cafe lớn cạnh tranh trực tiếp với các thương hiệu nổi tiếng thế giới ở Việt Nam như Starbucks, Coffee Bean & …"
30,Nghĩa Nguyễn Trung,4 sao,8 tháng trước,"Không gian khá ổn. Thức uống pha chế ngon, giá cả hợp lý."
31,Trọng Tấn,1 sao,5 tháng trước,"- Quán lộn sộn, hơi không sạch cho lắm
- Chỉ có vài ổ điện.
- Nhân viên hay đi qua đi lại liếc nhìn trông rất khó chịu. …"
32,THANH ĐÀO HẢI,3 sao,8 tháng trước,"bàn ghế ngoài trời bẩn thật sự, không gian trong quán thì hơi chật chội, đồ uống ok"
